trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
g_g000516,west,2,1,0,0,0,0,20,여,2;6;2;3;5;5;6;7,28,50130;11440;28177,,,,,
g_g000519,west,3,2,0,0,0,0,30,남,4;1;2;2;4;4;2;7,47,50130;26350;43150,,,,,
g_g000520,west,2,13,0,0,0,0,60,여,1;2;3;3;3;3;3;3,11,42150;41820;42820,,,,,
g_g000522,west,3,2,0,0,0,0,20,여,2;2;1;4;5;5;4;6,44,50110;11170;26350,,,,,
g_g000532,west,3,21,0,0,0,0,30,남,2;2;4;3;1;3;5;2,30,50110;42150;26350,,,,,
g_g000540,west,3,23,0,0,0,0,50,남,7;1;1;1;1;7;1;4,29,50130;42150;26290,,,,,
g_g000545,west,3,1,0,0,0,0,30,여,5;1;2;4;5;5;2;3,46,50130;26500;42150,,,,,
g_g000552,west,3,1,0,0,0,0,30,여,5;3;5;4;6;6;4;5,29,46170;46710;46110,,,,,
g_g000570,west,3,10,0,0,0,0,50,남,7;7;7;1;4;7;4;5,11,41570;41290;41480,,,,,
g_g000571,west,3,23,0,0,0,0,40,남,2;4;3;4;3;3;4;5,41,50130;42210;26350,,,,,
g_g000572,west,2,22,0,0,0,0,50,여,1;4;1;1;1;4;4;4,41,50130;42210;46890,,,,,
g_g000581,west,3,2,0,0,0,0,40,여,1;1;4;4;4;4;1;4,11,42210;50130;28710,,,,,
g_g000582,west,2,11,0,0,0,0,30,남,5;6;4;3;7;4;6;2,36,30200;43720;44230,,,,,
g_g000585,west,2,11,0,0,0,0,30,여,4;6;3;2;7;6;1;2,41,41460;42210;44825,,,,,
g_g000602,west,3,22,0,0,0,0,30,남,6;2;1;5;6;4;6;5,41,41280;42820;50130,,,,,
g_g000604,west,3,21,0,0,0,0,30,남,2;1;2;1;6;6;7;1,11,30200;46770;46130,,,,,
g_g000606,west,2,2,0,0,0,0,40,남,7;7;1;6;3;3;1;4,45,45110;29200;30170,,,,,
g_g000610,west,2,22,0,0,0,0,40,남,6;4;6;6;6;6;4;7,43,50130;42150;44180,,,,,
g_g000613,west,2,1,0,0,0,0,30,남,4;5;3;3;3;4;6;6,44,44150;30200;45130,,,,,
g_g000614,west,2,13,0,0,0,0,40,여,4;5;3;4;3;4;3;4,44,50130;42210;26350,,,,,
g_g000619,west,3,4,0,0,0,0,50,여,1;2;2;2;5;5;3;5,41,43730;42230;43800,,,,,
g_g000624,west,2,1,0,0,0,0,20,여,4;6;5;3;5;2;2;5,30,11710;26500;11170,,,,,
g_g000636,west,2,12,0,0,0,0,30,남,1;4;1;1;7;1;1;7,43,50110;26500;47130,,,,,
g_g000637,west,3,3,0,0,0,0,30,여,3;3;2;3;3;3;4;2,46,46710;45190;46130,,,,,
g_g000642,west,3,5,0,0,0,0,30,남,6;6;4;6;5;2;1;2,11,44825;42210;47280,,,,,
g_g000651,west,3,2,0,0,0,0,30,남,2;6;7;7;5;2;6;7,43,44150;44130;11170,,,,,
g_g000657,west,3,2,0,0,0,0,40,여,3;3;1;4;6;6;2;6,29,50110;48310;46130,,,,,
g_g000670,west,3,2,0,0,0,0,40,남,3;3;2;6;3;2;1;3,44,42810;44825;28177,,,,,
g_g000675,west,2,11,0,0,0,0,30,남,2;2;2;4;4;4;3;3,43,11680;42190;44760,,,,,
g_g000680,west,3,10,0,0,0,0,40,남,2;2;2;6;6;6;2;4,41,43720;42130;41190,,,,,
g_g000681,west,3,1,0,0,0,0,30,여,1;7;7;1;1;7;7;1,30,47190;44760;11680,,,,,
g_g000685,west,2,1,0,0,0,0,40,남,1;1;2;4;6;1;2;6,29,46710;46790;46150,,,,,
g_g000687,west,3,12,0,0,0,0,40,여,2;1;6;2;2;6;2;6,36,44150;30200;50110,,,,,
g_g000688,west,3,2,0,0,0,0,50,여,1;6;4;5;2;5;2;7,29,46870;46170;46880,,,,,
g_g000695,west,3,23,0,0,0,0,30,여,2;2;1;4;2;2;3;7,41,41820;42820;41830,,,,,
g_g000696,west,3,1,0,0,0,0,20,여,7;2;1;6;7;7;1;7,41,50130;46130;42150,,,,,
g_g000698,west,2,2,0,0,0,0,40,여,4;1;1;6;2;6;7;7,29,26710;42210;47110,,,,,
g_g000699,west,3,1,0,0,0,0,30,여,4;1;1;3;1;4;7;5,11,50130;30200;42760,,,,,
g_g000701,west,3,22,0,0,0,0,30,남,2;2;2;2;5;3;6;6,29,46710;44200;44130,,,,,
g_g000703,west,3,2,0,0,0,0,20,여,2;3;1;6;7;1;2;1,11,46150;42150;42760,,,,,
g_g000712,west,3,21,0,0,0,0,30,여,3;2;2;5;5;2;6;6,11,50110;26200;42210,,,,,
g_g000714,west,3,8,0,0,0,0,30,여,4;1;2;1;4;5;6;6,11,42150;43800;26350,,,,,
g_g000716,west,3,21,0,0,0,0,30,여,5;4;3;1;2;2;2;5,28,42210;41500;50130,,,,,
g_g000717,west,2,1,0,0,0,0,30,여,6;2;1;3;6;5;7;2,46,50110;11680;26350,,,,,
g_g000722,west,3,8,0,0,0,0,50,여,2;6;6;6;2;6;2;2,30,50130;48310;42820,,,,,
g_g000727,west,3,11,0,0,0,0,40,남,2;1;4;7;6;3;5;2,27,47250;42750;43800,,,,,
g_g000729,west,3,21,0,0,0,0,30,남,2;4;4;5;3;4;6;6,42,46730;46820;42210,,,,,
g_g000730,west,3,10,0,0,0,0,40,여,2;2;2;4;6;5;6;5,45,44180;45730;50130,,,,,
