trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
f_f000699,east,2,12,0,0,0,0,40,남,3;4;4;3;3;5;3;5,42,42150;42210;50130,,,,,
f_f000701,east,3,2,0,0,0,0,20,여,1;1;1;3;3;1;7;1,11,42110;45110;50130,,,,,
f_f000705,east,2,1,0,0,0,0,20,여,2;5;2;2;6;4;1;7,48,50130;50110;11680,,,,,
f_f000709,east,3,5,0,0,0,0,20,여,2;4;5;3;6;6;2;7,11,50130;26500;42150,,,,,
f_f000711,east,2,21,0,0,0,0,30,남,4;2;2;5;4;4;5;6,27,26350;11110;11230,,,,,
f_f000721,east,3,5,0,0,0,0,40,여,2;1;3;6;6;6;1;7,41,42820;26530;11680,,,,,
f_f000723,east,2,4,0,0,0,0,20,여,1;3;3;2;2;2;5;4,46,26710;30140;29140,,,,,
f_f000726,east,3,21,0,0,0,0,40,여,2;3;2;4;4;5;2;6,29,46710;46790;46880,,,,,
f_f000728,east,3,1,0,0,0,0,40,여,1;7;1;4;1;1;4;4,43,50110;26350;42150,,,,,
f_f000731,east,3,23,0,0,0,0,50,여,1;2;2;2;2;3;3;3,26,46150;48310;31710,,,,,
f_f000733,east,2,22,0,0,0,0,30,여,2;7;5;2;6;3;5;7,30,11110;47130;46150,,,,,
f_f000734,east,3,11,0,0,0,0,40,여,1;4;2;3;4;2;5;2,41,50110;50130;47130,,,,,
f_f000735,east,3,3,0,0,0,0,20,남,1;1;1;5;1;1;1;7,30,42210;26710;42150,,,,,
f_f000736,east,3,21,0,0,0,0,30,여,3;3;2;3;3;4;6;5,11,50130;26350;41460,,,,,
f_f000739,east,3,10,0,0,0,0,50,여,4;4;6;6;5;4;4;5,48,48840;48240;48860,,,,,
f_f000741,east,2,1,0,0,0,0,50,남,2;4;4;2;4;2;2;6,48,48840;48120;46150,,,,,
